"Key"	"String"	"Context"
"MOD_DESC"	"Replace and enables the cloud used in After Dark(before weather update). Version {Version}"	
"TAB_NAME_SELECT"	"Select"	
"TAB_NAME_PROPERTIES"	"Properties"	
"TAB_NAME_SUPPORT"	"Support"	
"ENABLE_AD_CLOUD"	"Enable AD Cloud"	
"SELECT_CLOUD"	"Select Cloud"	
"TIP_REFRESH_BTN"	"Refresh"	
"TIP_OPENLOCALFOLDER_BTN"	"Open the local folder"	
"TIP_DMFWORKSHOP_BTN"	"Download more clouds from Steam Workshop"	
"TIP_VANILLA_PREVIEW"	"Vanilla clouds depend on the map environment, so you can only preview it in-game."	
"CLOUD_SIZE_LABEL"	"Size"	
"CONTROL_MODE"	"Control Mode"	
"GROUP_CONTROL"	"Control"	
"TIP_VANILLA_MODE"	"Load the vanilla values. changed values will not be saved."	
"TIP_CUSTOM_MODE"	"Changed value will be saved to config."	
"RESET_TO_VANILLA_BTN"	"Reset to Vanilla"	
"TIP_RESET_TO_VANILLA_BTN"	"Load the vanilla values by the current environment"	
"ALPHA_SATURATION"	"Alpha Saturation"	
"ATTENUATION"	"Attenuation"	
"STEP_SIZE"	"Step Size"	
"ROTATE_SPPED"	"Rotate Speed"	
"SKY_COLOR_MULTIPLIER"	"Sky Color Multiplier"	
"SUN_COLOR_MULTIPLIER"	"Sun Color Multiplier"	
"TIP_DISABLED_CONTROL_PANEL"	"In vanilla mode, the setting control is only available in-game"	
"GROUP_INGAMEUI"	"In-Game UI"	
"SHOW_MOD_BUTTON"	"Show Mod Button"	
"MOD_BUTTON_POSITION"	"Mod Button Position"	
"PANEL_POSITION"	"Panel Position"	
"TIP_DISABLED_APPLYBTN"	"Please enter the valid values before applying"	
