"LANGUAGE_NAME"	"Español"
"MOD_DESC"	"Reemplaza y habilita las nubes utilizadas en ""After Dark"" (antes de incorporar clima al juego) "
"VANILLA_LABEL"	" (Predeterminado)"
"TAB_NAME_SELECT"	"Seleccionar"
"TAB_NAME_PROPERTIES"	"Propiedades"
"TAB_NAME_SUPPORT"	"Soporte"
"ENABLE_AD_CLOUD"	"Activar AD Cloud"
"SELECT_CLOUD"	"Seleccionar Nubes"
"TIP_REFRESH_BTN"	"Refrescar"
"TIP_OPENLOCALFOLDER_BTN"	"Abrir carpeta local"
"TIP_DMFWORKSHOP_BTN"	"Descargar más nubes de Steam Workshop"
"APPLY_BTN"	"Aplicar"
"TIP_VANILLA_PREVIEW"	"Las nubes predeterminadas (Vanilla) dependen del entorno del mapa y sólo pueden verse en el juego."
"CLOUD_SIZE_LABEL"	"Tamaño"
"CONTROL_MODE"	"Modo de control"
"GROUP_CONTROL"	"Control"
"MODE_VANILLA"	"Predeterminado"
"MODE_CUSTOM"	"Personalizado"
"TIP_VANILLA_MODE"	"Cargar los valores predeterminados. Los cambios no se guardarán."
"TIP_CUSTOM_MODE"	"Los cambios se guardarán en la configuración."
"RESET_TO_VANILLA_BTN"	"Restablecer valor predeterminado"
"TIP_RESET_TO_VANILLA_BTN"	"Cargar los valores predeterminados en el entorno actual"
"ALPHA_SATURATION"	"Saturación alfa"
"ATTENUATION"	"Atenuación"
"STEP_SIZE"	"Tamaño del intervalo"
"ROTATE_SPPED"	"Velocidad de rotación"
"SKY_COLOR_MULTIPLIER"	"Multiplicador de color del cielo"
"SUN_COLOR_MULTIPLIER"	"Multiplicador de color del sol"
"TIP_DISABLED_CONTROL_PANEL"	"En modo predeterminado, usar el ajuste disponible en el juego"
"STEAM_WORKSHOP_PAGE_BTN"	"Página de Steam Workshop"
"GITHUB_REPOSITORY_BTN"	"Repositorio de Github"
"SELECT_LANGUAGE"	"Seleccionar idioma"
"USE_GAME_LANGUAGE"	"Usa el idioma del juego"
"GROUP_LOCALIZATION"	"Ubicación"
"CROWDIN_LINK_DESC"	"¿Te interesa la traducción? Visita el proyecto Crowdin del mod."
"GROUP_INGAMEUI"	"Menu en el juego"
"SHOW_MOD_BUTTON"	"Mostrar botón del mod"
"MOD_BUTTON_POSITION"	"Posición del botón"
"PANEL_POSITION"	"Posición de panel"
"RESET_BTN"	"Restablecer"
"NOT_SET"	"No establecido"
"TIP_DISABLED_APPLYBTN"	"Por favor ingrese valores válidos antes de aplicar"
"DISCORD_BTN"	"Servidor Discord"
