"LANGUAGE_NAME"	"日本語"
"MOD_DESC"	"DLC After Darkで使用していた、空と雲（更新前の上空）を置き換えて有効にします "
"VANILLA_LABEL"	" (バニラ)"
"TAB_NAME_SELECT"	"選択"
"TAB_NAME_PROPERTIES"	"プロパティ"
"TAB_NAME_SUPPORT"	"サポート"
"ENABLE_AD_CLOUD"	"AD Cloudを有効化"
"SELECT_CLOUD"	"クラウドを選択"
"TIP_REFRESH_BTN"	"更新"
"TIP_OPENLOCALFOLDER_BTN"	"ローカルフォルダを開く"
"TIP_DMFWORKSHOP_BTN"	" ワークショップでクラウドを更にDL"
"APPLY_BTN"	"適用"
"TIP_VANILLA_PREVIEW"	"バニラの雲はマップ環境に依存して、 ゲーム内でしか見られません"
"CLOUD_SIZE_LABEL"	"サイズ"
"CONTROL_MODE"	"制御モード"
"GROUP_CONTROL"	"コントロール"
"MODE_VANILLA"	"バニラ"
"MODE_CUSTOM"	"カスタム"
"TIP_VANILLA_MODE"	"バニラの値をロードしますが、変更した値は保存されません。"
"TIP_CUSTOM_MODE"	"変更した値は、設定ファイルに保存されます。"
"RESET_TO_VANILLA_BTN"	"バニラにリセット"
"TIP_RESET_TO_VANILLA_BTN"	"現在の環境でバニラの値をロードします。"
"ALPHA_SATURATION"	"アルファCｈの彩度"
"ATTENUATION"	"減衰量"
"STEP_SIZE"	"ステップサイズ"
"ROTATE_SPPED"	"回転速度"
"SKY_COLOR_MULTIPLIER"	"上空の色の乗数"
"SUN_COLOR_MULTIPLIER"	"太陽の色の乗数"
"TIP_DISABLED_CONTROL_PANEL"	"バニラモードでは、ゲーム内でコントロールを設定します。"
"STEAM_WORKSHOP_PAGE_BTN"	"Steamのワークショップ"
"GITHUB_REPOSITORY_BTN"	"Githubのリポジトリ"
"SELECT_LANGUAGE"	"言語を選択"
"USE_GAME_LANGUAGE"	"ゲームの言語を使用"
"GROUP_LOCALIZATION"	"言語の翻訳"
"CROWDIN_LINK_DESC"	"翻訳に興味がありますか？ MODのCrowdinプロジェクトをご覧ください。"
"GROUP_INGAMEUI"	"ゲーム内のUI"
"SHOW_MOD_BUTTON"	"MODボタンを表示"
"MOD_BUTTON_POSITION"	"MODボタンの位置"
"PANEL_POSITION"	"パネルの位置"
"RESET_BTN"	"リセット"
"NOT_SET"	"未設定"
"TIP_DISABLED_APPLYBTN"	"適用前に有効な値を入力して下さい。"
"DISCORD_BTN"	"Discordサーバー"
