"Key"	"String"	"Context"
"MOD_DESC"	"DLC After Darkで使用していた、空と雲 (更新前の上空) に置き換えて有効化します。バージョン {Version}"	""
"TAB_NAME_SELECT"	"選択"	""
"TAB_NAME_PROPERTIES"	"プロパティ"	""
"TAB_NAME_SUPPORT"	"サポート"	""
"ENABLE_AD_CLOUD"	"AD Cloudを有効化"	""
"SELECT_CLOUD"	"クラウドを選択"	""
"TIP_REFRESH_BTN"	"更新"	""
"TIP_OPENLOCALFOLDER_BTN"	"ローカルフォルダを開く"	""
"TIP_DMFWORKSHOP_BTN"	"ワークショップでクラウドを更にDL"	""
"TIP_VANILLA_PREVIEW"	"バニラのクラウドはマップ環境に依存するため、 ゲーム内でのみプレビューできます。"	""
"CLOUD_SIZE_LABEL"	"サイズ"	""
"CONTROL_MODE"	"制御モード"	""
"GROUP_CONTROL"	"コントロール"	""
"TIP_VANILLA_MODE"	"バニラの値をロードしますが、変更した値は保存されません。"	""
"TIP_CUSTOM_MODE"	"変更した値は、設定ファイルに保存されます。"	""
"RESET_TO_VANILLA_BTN"	"バニラにリセット"	""
"TIP_RESET_TO_VANILLA_BTN"	"現在の環境でバニラの値をロードします。"	""
"ALPHA_SATURATION"	"αチャンネルの彩度"	""
"ATTENUATION"	"減衰量"	""
"STEP_SIZE"	"ステップサイズ"	""
"ROTATE_SPPED"	"回転速度"	""
"SKY_COLOR_MULTIPLIER"	"上空の色の乗数"	""
"SUN_COLOR_MULTIPLIER"	"太陽の色の乗数"	""
"TIP_DISABLED_CONTROL_PANEL"	"バニラモードでは、ゲーム内でコントロールを設定します。"	""
"GROUP_INGAMEUI"	"ゲーム内のUI"	""
"SHOW_MOD_BUTTON"	"MODボタンを表示"	""
"MOD_BUTTON_POSITION"	"MODボタンの位置"	""
"PANEL_POSITION"	"パネルの位置"	""
"TIP_DISABLED_APPLYBTN"	"適用前に有効な値を入力して下さい。"	""
