"Key"	"String"	"Context"
"MOD_DESC"	"After Dark(날씨 업데이트 전) 때 사용되었던 구름을 활성화하고 교체합니다. 버전 {Version}"	""
"TAB_NAME_SELECT"	"선택"	""
"TAB_NAME_PROPERTIES"	"속성"	""
"TAB_NAME_SUPPORT"	"지원"	""
"ENABLE_AD_CLOUD"	"AD 구름 활성화"	""
"SELECT_CLOUD"	"구름 선택"	""
"TIP_REFRESH_BTN"	"새로고침"	""
"TIP_OPENLOCALFOLDER_BTN"	"로컬 폴더 열기"	""
"TIP_DMFWORKSHOP_BTN"	"Steam 창작마당에서 더 많은 구름 다운로드"	""
"TIP_VANILLA_PREVIEW"	"바닐라 구름은 맵 환경에 따라 달라지므로 인게임에서만 프리뷰할 수 있습니다."	""
"CLOUD_SIZE_LABEL"	"크기"	""
"CONTROL_MODE"	"컨트롤 모드"	""
"GROUP_CONTROL"	"컨트롤"	""
"TIP_VANILLA_MODE"	"바닐라 값을 불러옵니다. 바뀐 값은 저장되지 않습니다."	""
"TIP_CUSTOM_MODE"	"바뀐 값이 구성에 저장됩니다."	""
"RESET_TO_VANILLA_BTN"	"바닐라로 초기화"	""
"TIP_RESET_TO_VANILLA_BTN"	"현재 환경의 바닐라 값 불러오기"	""
"ALPHA_SATURATION"	"알파 채도"	""
"ATTENUATION"	"감쇠"	""
"STEP_SIZE"	"단차 크기"	""
"ROTATE_SPPED"	"회전 속도"	""
"SKY_COLOR_MULTIPLIER"	"하늘 색 승수"	""
"SUN_COLOR_MULTIPLIER"	"태양 색 승수"	""
"TIP_DISABLED_CONTROL_PANEL"	"바닐라 모드에서 설정 컨트롤은 인게임에서만 사용 가능합니다"	""
"GROUP_INGAMEUI"	"인게임 UI"	""
"SHOW_MOD_BUTTON"	"모드 버튼 표시"	""
"MOD_BUTTON_POSITION"	"모드 버튼 위치"	""
"PANEL_POSITION"	"패널 위치"	""
"TIP_DISABLED_APPLYBTN"	"적용하기 전에 올바른 값을 입력하세요"	""
